,Title,Descrptions,Link
0,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">3D</p>","3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com/topics/3d
1,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Ajax</p>",Ajax is a technique for creating interactive web applications.,https://github.com/topics/ajax
2,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Algorithm</p>",Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics/algorithm
3,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Amp</p>",Amp is a non-blocking concurrency library for PHP.,https://github.com/topics/amphp
4,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Android</p>",Android is an operating system built by Google designed for mobile devices.,https://github.com/topics/android
5,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Angular</p>",Angular is an open source web application platform.,https://github.com/topics/angular
6,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Ansible</p>",Ansible is a simple and powerful automation engine.,https://github.com/topics/ansible
7,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">API</p>",An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics/api
8,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Arduino</p>",Arduino is an open source platform for building electronic devices.,https://github.com/topics/arduino
9,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">ASP.NET</p>",ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics/aspnet
10,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Atom</p>",Atom is a open source text editor built with web technologies.,https://github.com/topics/atom
11,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Awesome Lists</p>",An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome
12,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Amazon Web Services</p>",Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics/aws
13,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Azure</p>",Azure is a cloud computing service created by Microsoft.,https://github.com/topics/azure
14,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Babel</p>","Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics/babel
15,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bash</p>",Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics/bash
16,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bitcoin</p>",Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics/bitcoin
17,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bootstrap</p>","Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics/bootstrap
18,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bot</p>",A bot is an application that runs automated tasks over the Internet.,https://github.com/topics/bot
19,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">C</p>",C is a general purpose programming language that first appeared in 1972.,https://github.com/topics/c
20,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Chrome</p>",Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome
21,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Chrome extension</p>",Chrome extensions enable users to customize the Chrome browsing experience.,https://github.com/topics/chrome-extension
22,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Command line interface</p>","A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics/cli
23,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Clojure</p>","Clojure is a dynamic, general-purpose programming language.",https://github.com/topics/clojure
24,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Code quality</p>","Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them.",https://github.com/topics/code-quality
25,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Code review</p>",Ensure your code meets quality standards and ship with confidence.,https://github.com/topics/code-review
26,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Compiler</p>",Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler
27,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Continuous integration</p>","Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics/continuous-integration
28,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">COVID-19</p>",The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://github.com/topics/covid-19
29,"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">C++</p>",C++ is a general purpose and object-oriented programming language.,https://github.com/topics/cpp
